concept_id,concept_name,domain_id,vocabulary
1634381,AJCC/UICC 6th clinical T1 Category,Measurement,Cancer Modifier
1633520,AJCC/UICC 6th clinical T1a Category,Measurement,Cancer Modifier
1634828,AJCC/UICC 6th clinical T1a1 Category,Measurement,Cancer Modifier
1634432,AJCC/UICC 6th clinical T1a2 Category,Measurement,Cancer Modifier
1633492,AJCC/UICC 6th clinical T1b Category,Measurement,Cancer Modifier
1634587,AJCC/UICC 6th clinical T1b1 Category,Measurement,Cancer Modifier
1634547,AJCC/UICC 6th clinical T1b2 Category,Measurement,Cancer Modifier
1635584,AJCC/UICC 6th clinical T1b3 Category,Measurement,Cancer Modifier
1634501,AJCC/UICC 6th clinical T1c Category,Measurement,Cancer Modifier
1635357,AJCC/UICC 6th clinical T1c1 Category,Measurement,Cancer Modifier
1634309,AJCC/UICC 6th clinical T1c2 Category,Measurement,Cancer Modifier
1635406,AJCC/UICC 6th clinical T1c3 Category,Measurement,Cancer Modifier
1633497,AJCC/UICC 6th clinical T1d Category,Measurement,Cancer Modifier
1633752,AJCC/UICC 6th clinical T1mi Category,Measurement,Cancer Modifier
1633747,AJCC/UICC 6th clinical T2 Category,Measurement,Cancer Modifier
1633947,AJCC/UICC 6th clinical T2a Category,Measurement,Cancer Modifier
1634260,AJCC/UICC 6th clinical T2a1 Category,Measurement,Cancer Modifier
1635665,AJCC/UICC 6th clinical T2a2 Category,Measurement,Cancer Modifier
1635509,AJCC/UICC 6th clinical T2b Category,Measurement,Cancer Modifier
1633545,AJCC/UICC 6th clinical T2c Category,Measurement,Cancer Modifier
1634235,AJCC/UICC 6th clinical T2d Category,Measurement,Cancer Modifier
1635713,AJCC/UICC 6th T1 Category,Measurement,Cancer Modifier
1633451,AJCC/UICC 6th T1a Category,Measurement,Cancer Modifier
1634369,AJCC/UICC 6th T1a1 Category,Measurement,Cancer Modifier
1635678,AJCC/UICC 6th T1a2 Category,Measurement,Cancer Modifier
1634178,AJCC/UICC 6th T1b Category,Measurement,Cancer Modifier
1634843,AJCC/UICC 6th T1b1 Category,Measurement,Cancer Modifier
1634646,AJCC/UICC 6th T1b2 Category,Measurement,Cancer Modifier
1634360,AJCC/UICC 6th T1b3 Category,Measurement,Cancer Modifier
1633486,AJCC/UICC 6th T1c Category,Measurement,Cancer Modifier
1633780,AJCC/UICC 6th T1c1 Category,Measurement,Cancer Modifier
1635788,AJCC/UICC 6th T1c2 Category,Measurement,Cancer Modifier
1635306,AJCC/UICC 6th T1c3 Category,Measurement,Cancer Modifier
1635205,AJCC/UICC 6th T1d Category,Measurement,Cancer Modifier
1635447,AJCC/UICC 6th T1mi Category,Measurement,Cancer Modifier
1634195,AJCC/UICC 6th T2 Category,Measurement,Cancer Modifier
1633976,AJCC/UICC 6th T2a Category,Measurement,Cancer Modifier
1634473,AJCC/UICC 6th T2a1 Category,Measurement,Cancer Modifier
1635537,AJCC/UICC 6th T2a2 Category,Measurement,Cancer Modifier
1633605,AJCC/UICC 6th T2b Category,Measurement,Cancer Modifier
1634524,AJCC/UICC 6th T2c Category,Measurement,Cancer Modifier
1633981,AJCC/UICC 6th T2d Category,Measurement,Cancer Modifier
1635664,AJCC/UICC 7th clinical T1 Category,Measurement,Cancer Modifier
1634728,AJCC/UICC 7th clinical T1a Category,Measurement,Cancer Modifier
