Id,Name,Domain,Vocabulary,include,t1_patological,t2_patological
1634381,AJCC/UICC 6th clinical T1 Category,Measurement,Cancer Modifier,y,,
1633520,AJCC/UICC 6th clinical T1a Category,Measurement,Cancer Modifier,y,,
1634828,AJCC/UICC 6th clinical T1a1 Category,Measurement,Cancer Modifier,y,,
1634432,AJCC/UICC 6th clinical T1a2 Category,Measurement,Cancer Modifier,y,,
1633492,AJCC/UICC 6th clinical T1b Category,Measurement,Cancer Modifier,y,,
1634587,AJCC/UICC 6th clinical T1b1 Category,Measurement,Cancer Modifier,y,,
1634547,AJCC/UICC 6th clinical T1b2 Category,Measurement,Cancer Modifier,y,,
1635584,AJCC/UICC 6th clinical T1b3 Category,Measurement,Cancer Modifier,y,,
1634501,AJCC/UICC 6th clinical T1c Category,Measurement,Cancer Modifier,y,,
1635357,AJCC/UICC 6th clinical T1c1 Category,Measurement,Cancer Modifier,y,,
1634309,AJCC/UICC 6th clinical T1c2 Category,Measurement,Cancer Modifier,y,,
1635406,AJCC/UICC 6th clinical T1c3 Category,Measurement,Cancer Modifier,y,,
1633497,AJCC/UICC 6th clinical T1d Category,Measurement,Cancer Modifier,y,,
1633752,AJCC/UICC 6th clinical T1mi Category,Measurement,Cancer Modifier,y,,
1633747,AJCC/UICC 6th clinical T2 Category,Measurement,Cancer Modifier,y,,
1633947,AJCC/UICC 6th clinical T2a Category,Measurement,Cancer Modifier,y,,
1634260,AJCC/UICC 6th clinical T2a1 Category,Measurement,Cancer Modifier,y,,
1635665,AJCC/UICC 6th clinical T2a2 Category,Measurement,Cancer Modifier,y,,
1635509,AJCC/UICC 6th clinical T2b Category,Measurement,Cancer Modifier,y,,
1633545,AJCC/UICC 6th clinical T2c Category,Measurement,Cancer Modifier,y,,
1634235,AJCC/UICC 6th clinical T2d Category,Measurement,Cancer Modifier,y,,
1633445,AJCC/UICC 6th pathological T1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1635059,AJCC/UICC 6th pathological T1a Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634047,AJCC/UICC 6th pathological T1a1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633848,AJCC/UICC 6th pathological T1a2 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634578,AJCC/UICC 6th pathological T1b Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634961,AJCC/UICC 6th pathological T1b1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634012,AJCC/UICC 6th pathological T1b2 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633412,AJCC/UICC 6th pathological T1b3 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633962,AJCC/UICC 6th pathological T1c Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634057,AJCC/UICC 6th pathological T1c1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633340,AJCC/UICC 6th pathological T1c2 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634076,AJCC/UICC 6th pathological T1c3 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1635078,AJCC/UICC 6th pathological T1d Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1635803,AJCC/UICC 6th pathological T1mi Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634792,AJCC/UICC 6th pathological T2 Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1634221,AJCC/UICC 6th pathological T2a Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1635680,AJCC/UICC 6th pathological T2a1 Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1635326,AJCC/UICC 6th pathological T2a2 Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1635876,AJCC/UICC 6th pathological T2b Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1633999,AJCC/UICC 6th pathological T2c Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1633692,AJCC/UICC 6th pathological T2d Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1635874,AJCC/UICC 6th post therapy clinical T1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635627,AJCC/UICC 6th post therapy clinical T1a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633470,AJCC/UICC 6th post therapy clinical T1a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635346,AJCC/UICC 6th post therapy clinical T1a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635727,AJCC/UICC 6th post therapy clinical T1b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634257,AJCC/UICC 6th post therapy clinical T1b1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633930,AJCC/UICC 6th post therapy clinical T1b2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635123,AJCC/UICC 6th post therapy clinical T1b3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635703,AJCC/UICC 6th post therapy clinical T1c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635127,AJCC/UICC 6th post therapy clinical T1c1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634053,AJCC/UICC 6th post therapy clinical T1c2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635514,AJCC/UICC 6th post therapy clinical T1c3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633671,AJCC/UICC 6th post therapy clinical T1d Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634486,AJCC/UICC 6th post therapy clinical T1mi Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635055,AJCC/UICC 6th post therapy clinical T2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634664,AJCC/UICC 6th post therapy clinical T2a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635143,AJCC/UICC 6th post therapy clinical T2a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635735,AJCC/UICC 6th post therapy clinical T2a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635414,AJCC/UICC 6th post therapy clinical T2b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634133,AJCC/UICC 6th post therapy clinical T2c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635383,AJCC/UICC 6th post therapy clinical T2d Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634566,AJCC/UICC 6th post therapy pathological T1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633574,AJCC/UICC 6th post therapy pathological T1a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635804,AJCC/UICC 6th post therapy pathological T1a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635582,AJCC/UICC 6th post therapy pathological T1a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635789,AJCC/UICC 6th post therapy pathological T1b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633365,AJCC/UICC 6th post therapy pathological T1b1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635329,AJCC/UICC 6th post therapy pathological T1b2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635604,AJCC/UICC 6th post therapy pathological T1b3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634807,AJCC/UICC 6th post therapy pathological T1c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635845,AJCC/UICC 6th post therapy pathological T1c1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633532,AJCC/UICC 6th post therapy pathological T1c2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635586,AJCC/UICC 6th post therapy pathological T1c3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635521,AJCC/UICC 6th post therapy pathological T1d Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633810,AJCC/UICC 6th post therapy pathological T1mi Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634274,AJCC/UICC 6th post therapy pathological T2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635756,AJCC/UICC 6th post therapy pathological T2a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635211,AJCC/UICC 6th post therapy pathological T2a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633732,AJCC/UICC 6th post therapy pathological T2a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633715,AJCC/UICC 6th post therapy pathological T2b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635438,AJCC/UICC 6th post therapy pathological T2c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635783,AJCC/UICC 6th post therapy pathological T2d Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635713,AJCC/UICC 6th T1 Category,Measurement,Cancer Modifier,y,,
1633451,AJCC/UICC 6th T1a Category,Measurement,Cancer Modifier,y,,
1634369,AJCC/UICC 6th T1a1 Category,Measurement,Cancer Modifier,y,,
1635678,AJCC/UICC 6th T1a2 Category,Measurement,Cancer Modifier,y,,
1634178,AJCC/UICC 6th T1b Category,Measurement,Cancer Modifier,y,,
1634843,AJCC/UICC 6th T1b1 Category,Measurement,Cancer Modifier,y,,
1634646,AJCC/UICC 6th T1b2 Category,Measurement,Cancer Modifier,y,,
1634360,AJCC/UICC 6th T1b3 Category,Measurement,Cancer Modifier,y,,
1633486,AJCC/UICC 6th T1c Category,Measurement,Cancer Modifier,y,,
1633780,AJCC/UICC 6th T1c1 Category,Measurement,Cancer Modifier,y,,
1635788,AJCC/UICC 6th T1c2 Category,Measurement,Cancer Modifier,y,,
1635306,AJCC/UICC 6th T1c3 Category,Measurement,Cancer Modifier,y,,
1635205,AJCC/UICC 6th T1d Category,Measurement,Cancer Modifier,y,,
1635447,AJCC/UICC 6th T1mi Category,Measurement,Cancer Modifier,y,,
1634195,AJCC/UICC 6th T2 Category,Measurement,Cancer Modifier,y,,
1633976,AJCC/UICC 6th T2a Category,Measurement,Cancer Modifier,y,,
1634473,AJCC/UICC 6th T2a1 Category,Measurement,Cancer Modifier,y,,
1635537,AJCC/UICC 6th T2a2 Category,Measurement,Cancer Modifier,y,,
1633605,AJCC/UICC 6th T2b Category,Measurement,Cancer Modifier,y,,
1634524,AJCC/UICC 6th T2c Category,Measurement,Cancer Modifier,y,,
1633981,AJCC/UICC 6th T2d Category,Measurement,Cancer Modifier,y,,
1635664,AJCC/UICC 7th clinical T1 Category,Measurement,Cancer Modifier,y,,
1634728,AJCC/UICC 7th clinical T1a Category,Measurement,Cancer Modifier,y,,
