"concept_id","concept_name"
586610,"1 ML Medroxyprogesterone 150 MG/ML Injection Box of 1"
586686,"Leuprolide 5.65 MG/ML Drug Implant [Enantone] Box of 2"
586844,"Triptorelin 5.65 MG/ML Injectable Solution"
586905,"Triptorelin 1.88 MG/ML Injection"
587319,"3 ML degarelix 40 MG/ML Injection"
587501,"Triptorelin 1.88 MG/ML Injection Box of 3"
587531,"Medroxyprogesterone 150 MG/ML [Sayana]"
587677,"Triptorelin 5.65 MG/ML Injectable Solution [Decapeptyl Depot]"
587837,"Triptorelin 5.65 MG/ML [Decapeptyl Depot]"
587938,"Medroxyprogesterone 150 MG/ML [Depo-Ralovera]"
587954,"3.3 ML Medroxyprogesterone 150 MG/ML Injection"
588078,"2 ML Triptorelin 1.88 MG/ML Injection"
588115,"degarelix 80 MG Injection Box of 3"
588234,"3 ML degarelix 40 MG/ML Injection Box of 2"
588295,"Medroxyprogesterone 150 MG/ML Injection Box of 1"
588385,"Medroxyprogesterone 160 MG/ML Injectable Solution"
588812,"degarelix 40 MG/ML Injection Box of 2"
588980,"2 ML Triptorelin 1.88 MG/ML Injection Box of 3"
588987,"3.32 ML Medroxyprogesterone 150 MG/ML Injection"
589116,"Medroxyprogesterone 150 MG/ML [Depo Provera Bra]"
589295,"4 ML degarelix 19 MG/ML Injection"
589367,"Leuprolide 5.65 MG/ML Prefilled Syringe [Enantoneurim Pharm]"
589777,"1 ML Medroxyprogesterone 160 MG/ML Injectable Solution"
589944,"Medroxyprogesterone 150 MG/ML [Depo Provera Grk]"
589973,"Medroxyprogesterone 150 MG/ML [Depo Clinovir]"
589995,"degarelix 19 MG/ML Injection"
590006,"3 ML Medroxyprogesterone 160 MG/ML Injectable Solution"
590388,"Leuprolide 5.65 MG/ML Prefilled Syringe [Enantoneurim Pharm] Box of 1"
590536,"degarelix 40 MG/ML Injection"
715824,"leuprorelin and bicalutamide; systemic"
779163,"leuprolide 42 MG"
779164,"leuprolide 42 MG Prefilled Syringe"
779166,"leuprolide 42 MG [Camcevi]"
779168,"leuprolide Prefilled Syringe [Camcevi]"
779169,"leuprolide 42 MG Prefilled Syringe [Camcevi]"
782694,"degarelix 19 MG/ML Injectable Solution Box of 1"
782695,"degarelix 19 MG/ML Injectable Solution [Firmagon] Box of 1"
783076,"Leuprolide 45 MG Injectable Solution Box of 1"
783077,"Leuprolide 45 MG Injectable Solution [Eligard] Box of 1"
783078,"Leuprolide 45 MG Injectable Solution [Eligard] Box of 1 by Astellas"
783079,"Leuprolide 22.5 MG Injectable Solution [Eligard] Box of 1"
783080,"Leuprolide 22.5 MG Injectable Solution [Eligard] Box of 1 by Astellas"
783357,"Medroxyprogesterone Injectable Solution [Depo-Provera]"
