"concept_id","concept_name"
586709,"1 ML docetaxel 20 MG/ML Injection [DOCETAXEL ACCORD]"
586859,"4 ML docetaxel 20 MG/ML Injection [DOCETAXEL ACCORD]"
586981,"4 ML docetaxel 20 MG/ML Injection [DOCETAXEL ACCORD] by Accord"
587187,"4 ML docetaxel 20 MG/ML Injectable Solution [DOCETAXEL EG]"
587746,"docetaxel Injection [Docetaxel Aurobindo]"
587781,"docetaxel 10 MG/ML Injection by Sandoz"
587833,"1 ML docetaxel 20 MG/ML Injection [DOCETAXEL ACCORD] by Accord"
587848,"docetaxel 20 MG/ML Injectable Solution by Accord"
587960,"1 ML docetaxel 20 MG/ML Injectable Solution [DOCETAXEL EG]"
587975,"1 ML docetaxel 20 MG/ML Injection [DOCETAXEL EG] by Eurogenerics"
588100,"1 ML docetaxel 20 MG/ML Injectable Solution [Docetaxel Aurobindo] by Aurobindo"
588134,"docetaxel Injection [DOCETAXEL EG]"
588387,"7 ML docetaxel 20 MG/ML Injectable Solution [DOCETAXEL EG]"
588610,"4 ML docetaxel 20 MG/ML Injection [Docetaxel Aurobindo] by Aurobindo"
588682,"docetaxel Injection [DOCETAXEL ACCORD]"
588995,"docetaxel 20 MG/ML Injection [DOCETAXEL EG]"
589023,"7 ML docetaxel 20 MG/ML Injectable Solution [Docetaxel Aurobindo] by Aurobindo"
589126,"docetaxel 10 MG/ML Injection by Hospira"
589142,"7 ML docetaxel 20 MG/ML Injectable Solution [DOCETAXEL EG] by Eurogenerics"
589530,"docetaxel 20 MG/ML Injection [Docetaxel Aurobindo]"
589702,"8 ML docetaxel 20 MG/ML Injection [Docetaxel Aurobindo] by Aurobindo"
589769,"4 ML docetaxel 20 MG/ML Injectable Solution [DOCETAXEL EG] by Eurogenerics"
590534,"8 ML docetaxel 20 MG/ML Injection [Docetaxel Aurobindo]"
590542,"8 ML docetaxel 20 MG/ML Injectable Solution [DOCETAXEL ACCORD] by Accord"
715835,"darolutamide; oral"
715926,"apalutamide; oral"
782986,"olaparib 150 MG Oral Tablet Box of 112"
782987,"olaparib 150 MG Oral Tablet [Lynparza] Box of 112"
782988,"olaparib 150 MG Oral Tablet [Lynparza] Box of 112 by Astrazeneca"
782989,"olaparib 100 MG Oral Tablet Box of 112"
782990,"olaparib 100 MG Oral Tablet [Lynparza] Box of 112"
782991,"olaparib 100 MG Oral Tablet [Lynparza] Box of 112 by Astrazeneca"
784159,"1 ML docetaxel 20 MG/ML Injectable Solution [Docetaxel Aurobindo] Box of 1 by Aurobindo"
784160,"1 ML docetaxel 20 MG/ML Injectable Solution [DOCETAXEL ACCORD] Box of 1 by Accord"
784359,"4 ML docetaxel 20 MG/ML Injectable Solution [Docetaxel Aurobindo] Box of 1 by Aurobindo"
784360,"4 ML docetaxel 20 MG/ML Injectable Solution [DOCETAXEL ACCORD] Box of 1 by Accord"
784515,"7 ML docetaxel 20 MG/ML Injectable Solution [Docetaxel Aurobindo] Box of 1 by Aurobindo"
784520,"8 ML docetaxel 20 MG/ML Injectable Solution [Docetaxel Aurobindo] Box of 1"
784521,"8 ML docetaxel 20 MG/ML Injectable Solution [Docetaxel Aurobindo] Box of 1 by Aurobindo"
793991,"olaparib 100 MG"
793992,"olaparib Oral Tablet"
793993,"olaparib 100 MG Oral Tablet"
793994,"olaparib 100 MG [Lynparza]"
793995,"olaparib Oral Tablet [Lynparza]"
793996,"olaparib 100 MG Oral Tablet [Lynparza]"
793997,"olaparib 150 MG"
793998,"olaparib 150 MG Oral Tablet"
793999,"olaparib 150 MG [Lynparza]"
794000,"olaparib 150 MG Oral Tablet [Lynparza]"
947969,"olaparib; oral"
963987,"apalutamide"
963989,"apalutamide 60 MG"
963992,"apalutamide Oral Tablet"
963993,"apalutamide 60 MG Oral Tablet"
963995,"apalutamide 60 MG [Erleada]"
963996,"apalutamide Oral Tablet [Erleada]"
963999,"apalutamide 60 MG Oral Tablet [Erleada]"
994895,"abiraterone 500 MG Oral Tablet [Zytiga] by Kohlpharma"
994896,"abiraterone 500 MG Oral Tablet [Zytiga] by Paranova Pack"
1235148,"docetaxel 10 MG/ML Intravenous Solution"
1236215,"16 ML docetaxel 10 MG/ML Intravenous Solution"
1301736,"apalutamide 240 MG"
1301737,"apalutamide 240 MG Oral Tablet"
1301738,"apalutamide 240 MG [Erleada]"
1301739,"apalutamide 240 MG Oral Tablet [Erleada]"
1315942,"docetaxel"
1315943,"docetaxel 40 MG/ML Injectable Solution [Taxotere]"
1315944,"docetaxel 40 MG/ML Injectable Solution"
1361291,"darolutamide"
1361292,"darolutamide 300 MG"
1361295,"darolutamide Oral Tablet"
1361296,"darolutamide 300 MG Oral Tablet"
