concept_id,concept_name,vocabulary_id
1633905,AJCC/UICC 6th clinical Stage 1,Cancer Modifier
1634205,AJCC/UICC 6th clinical Stage 1A,Cancer Modifier
1634814,AJCC/UICC 6th clinical Stage 1A1,Cancer Modifier
1634095,AJCC/UICC 6th clinical Stage 1A2,Cancer Modifier
1635579,AJCC/UICC 6th clinical Stage 1A3,Cancer Modifier
1633897,AJCC/UICC 6th clinical Stage 1B,Cancer Modifier
1633403,AJCC/UICC 6th clinical Stage 1B1,Cancer Modifier
1634433,AJCC/UICC 6th clinical Stage 1B2,Cancer Modifier
1633856,AJCC/UICC 6th clinical Stage 1C,Cancer Modifier
1634593,AJCC/UICC 6th clinical Stage 1E,Cancer Modifier
1634349,AJCC/UICC 6th clinical Stage 1s,Cancer Modifier
1634718,AJCC/UICC 6th clinical Stage 2,Cancer Modifier
1634801,AJCC/UICC 6th clinical Stage 2A,Cancer Modifier
1635347,AJCC/UICC 6th clinical Stage 2A1,Cancer Modifier
1634479,AJCC/UICC 6th clinical Stage 2A2,Cancer Modifier
1634008,AJCC/UICC 6th clinical Stage 2B,Cancer Modifier
1633835,AJCC/UICC 6th clinical Stage 2C,Cancer Modifier
1634987,AJCC/UICC 6th clinical Stage 2E,Cancer Modifier
1634888,AJCC/UICC 6th Stage 1,Cancer Modifier
1634027,AJCC/UICC 6th Stage 1A,Cancer Modifier
1633734,AJCC/UICC 6th Stage 1A1,Cancer Modifier
1634553,AJCC/UICC 6th Stage 1A2,Cancer Modifier
1634171,AJCC/UICC 6th Stage 1A3,Cancer Modifier
1634604,AJCC/UICC 6th Stage 1B,Cancer Modifier
1635608,AJCC/UICC 6th Stage 1B1,Cancer Modifier
1633761,AJCC/UICC 6th Stage 1B2,Cancer Modifier
1635191,AJCC/UICC 6th Stage 1C,Cancer Modifier
1634474,AJCC/UICC 6th Stage 1E,Cancer Modifier
1634912,AJCC/UICC 6th Stage 1s,Cancer Modifier
1633753,AJCC/UICC 6th Stage 2,Cancer Modifier
1633482,AJCC/UICC 6th Stage 2A,Cancer Modifier
