concept_id,concept_name,domain_id,vocabulary
1635848,AJCC/UICC 6th clinical Stage 3,Measurement,Cancer Modifier
1634996,AJCC/UICC 6th clinical Stage 3A,Measurement,Cancer Modifier
1634871,AJCC/UICC 6th clinical Stage 3A1,Measurement,Cancer Modifier
1633894,AJCC/UICC 6th clinical Stage 3A2,Measurement,Cancer Modifier
1635728,AJCC/UICC 6th clinical Stage 3B,Measurement,Cancer Modifier
1635214,AJCC/UICC 6th clinical Stage 3C,Measurement,Cancer Modifier
1635642,AJCC/UICC 6th clinical Stage 3C1,Measurement,Cancer Modifier
1633639,AJCC/UICC 6th clinical Stage 3C2,Measurement,Cancer Modifier
1635031,AJCC/UICC 6th clinical Stage 3D,Measurement,Cancer Modifier
1634307,AJCC/UICC 6th clinical Stage 4,Measurement,Cancer Modifier
1635535,AJCC/UICC 6th clinical Stage 4A,Measurement,Cancer Modifier
1634152,AJCC/UICC 6th clinical Stage 4A1,Measurement,Cancer Modifier
1634480,AJCC/UICC 6th clinical Stage 4A2,Measurement,Cancer Modifier
1633922,AJCC/UICC 6th clinical Stage 4B,Measurement,Cancer Modifier
1633270,AJCC/UICC 6th clinical Stage 4C,Measurement,Cancer Modifier
1633499,AJCC/UICC 6th pathological Stage 3,Measurement,Cancer Modifier
1635862,AJCC/UICC 6th pathological Stage 3A,Measurement,Cancer Modifier
1633990,AJCC/UICC 6th pathological Stage 3A1,Measurement,Cancer Modifier
1635715,AJCC/UICC 6th pathological Stage 3A2,Measurement,Cancer Modifier
1633759,AJCC/UICC 6th pathological Stage 3B,Measurement,Cancer Modifier
1635440,AJCC/UICC 6th pathological Stage 3C,Measurement,Cancer Modifier
1634218,AJCC/UICC 6th pathological Stage 3C1,Measurement,Cancer Modifier
1635485,AJCC/UICC 6th pathological Stage 3C2,Measurement,Cancer Modifier
1634135,AJCC/UICC 6th pathological Stage 3D,Measurement,Cancer Modifier
1634208,AJCC/UICC 6th pathological Stage 4,Measurement,Cancer Modifier
1634731,AJCC/UICC 6th pathological Stage 4A,Measurement,Cancer Modifier
1635787,AJCC/UICC 6th pathological Stage 4A1,Measurement,Cancer Modifier
1635053,AJCC/UICC 6th pathological Stage 4A2,Measurement,Cancer Modifier
1635370,AJCC/UICC 6th pathological Stage 4B,Measurement,Cancer Modifier
1635893,AJCC/UICC 6th pathological Stage 4C,Measurement,Cancer Modifier
1634091,AJCC/UICC 6th post therapy clinical Stage 3,Measurement,Cancer Modifier
1635477,AJCC/UICC 6th post therapy clinical Stage 3A,Measurement,Cancer Modifier
1634388,AJCC/UICC 6th post therapy clinical Stage 3A1,Measurement,Cancer Modifier
1634344,AJCC/UICC 6th post therapy clinical Stage 3A2,Measurement,Cancer Modifier
1634726,AJCC/UICC 6th post therapy clinical Stage 3B,Measurement,Cancer Modifier
1633602,AJCC/UICC 6th post therapy clinical Stage 3C,Measurement,Cancer Modifier
1634061,AJCC/UICC 6th post therapy clinical Stage 3C1,Measurement,Cancer Modifier
1633983,AJCC/UICC 6th post therapy clinical Stage 3C2,Measurement,Cancer Modifier
